Function and Parameters;Data Segment
"1712065326380,GetVersion,0,";47494f50010001004400000000000000e037000001001c0004000000010000000d0000006d6f63686147657444617461003c237700000000430000000100000000000000000000000000000010000000
"1712065326380,GetVersion,0,";47494f50010001004400000000000000e03700000100070004000000010000000d0000006d6f63686147657444617461003c237700000000440000000100000000000000000000000000000010000000
"1712065326380,GetVersion,0,";47494f50010001004400000000000000e037000001000e0004000000010000000d0000006d6f63686147657444617461003c237700000000430000000200000000000000000000000000000010000000
"1712065326894,GetSystemInformation,1,";47494f50010001004400000000000000e03700000158590104000000010000000d0000006d6f636861476574446174610000000000000000010000000200000001000000000000000000000001000000
"1712065327402,GetAlarm,7,258,";47494f50010001004800000000000000e03700000100080004000000010000001d0000006d6f63686147657443757272656e74416c61726d4d7367466972737400512f0100000000010000000700000002010000
"1712065327907,GetWorkPosition,1,1,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f636861476574446174610000000000000000250000000700000001000000010000000000000010000000
"1712065328415,GetWorkPosition2,3,1,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f636861476574446174610000000000000000250000000700000001000000040000000000000010000000
"1712065328922,GetMachinePosition,2,0,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f636861476574446174610000000000000000250000000200000001000000020000000000000010000000
"1712065329437,GetMachinePosition2,2,1,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f636861476574446174610000000000000000250000001200000001000000020000000000000010000000
"1712065329952,GetCurrentPosition,1,";47494f50010001004400000000000000e0370000015b590104000000010000000d0000006d6f636861476574446174610000000000000000250000000300000001000000010000000000000010000000
"1712065330467,GetDistance,2,0,";47494f50010001004400000000000000e03700000159590104000000010000000d0000006d6f636861476574446174610000000000000000250000000600000001000000020000000000000010000000
"1712065330982,GetDistance2,3,0,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f636861476574446174610000000000000000250000000600000001000000040000000000000010000000
"1712065331487,GetNextDistance,1,";47494f50010001004400000000000000e03700000158590104000000010000000d0000006d6f636861476574446174610000000000000000250000000a00000001000000010000000000000010000000
"1712065331995,GetFeedSpeed,1,";47494f50010001004400000000000000e037000001000f0004000000010000000d0000006d6f63686147657444617461003c2377000000002a0000000200000001000000000000000000000010000000
"1712065332504,GetTCPSpeed,";47494f50010001004400000000000000e03700000100160004000000010000000d0000006d6f63686147657444617461003c237700000000210000000300000001000000000000000000000005000000
"1712065333023,GetManualOverlap,3,1,";47494f50010001004400000000000000e03700000159590104000000010000000d0000006d6f636861476574446174610000000000000000250000000900000001000000040000000000000010000000
"1712065333528,GetManualOverlap2,2,0,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f636861476574446174610000000000000000250000000800000001000000020000000000000010000000
"1712065334038,GetProgramPosition,2,";47494f50010001004400000000000000e03700000158590104000000010000000d0000006d6f636861476574446174610000000000000000250000000500000001000000020000000000000010000000
"1712065334547,GetProgramPosition3,3,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f636861476574446174610000000000000000250000000500000001000000040000000000000010000000
"1712065335051,GetTCPMachinePosition,2,";47494f50010001004400000000000000e03700000100080004000000010000000d0000006d6f63686147657444617461003c237700000000250000001900000001000000020000000000000005000000
"1712065335567,GetFeedbackPosition,1,";47494f50010001004400000000000000e03700000157590104000000010000000d0000006d6f636861476574446174610000000000000000250000002100000001000000010000000000000010000000
"1712065336074,GetTableCoordinationPosition,3,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f636861476574446174610000000000000000250000002200000001000000040000000000000010000000
"1712065336585,GetWorkInstallationPosition,1,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f636861476574446174610000000000000000250000002300000001000000010000000000000010000000
"1712065337094,GetInclinedSurfacePosition,2,";47494f50010001004400000000000000e03700000158590104000000010000000d0000006d6f636861476574446174610000000000000000250000002400000001000000020000000000000010000000
"1712065337597,GetGCodeCommand,18,";47494f50010001004400000000000000e037000001000b0004000000010000000d0000006d6f63686147657444617461003c237700000000290000001200000001000000000000000000000005000000
"1712065338102,GetToolCommand,2,0,";47494f50010001004400000000000000e03700000100050004000000010000000d0000006d6f63686147657444617461003c237700000000290000003300000001000000000000000000000002000000
"1712065338612,GetFeedCommand,4,";47494f50010001004400000000000000e037000001001d0004000000010000000d0000006d6f63686147657444617461003c2377000000002a0000000400000001000000000000000000000010000000
"1712065339118,GetCommand2,3,1,";47494f50010001004400000000000000e03700000100140004000000010000000d0000006d6f63686147657444617461003c2377000000002b0000002d01000001000000000000000000000003000000
"1712065339627,SetCommand2,1,2,17176723,";47494f50010001004c00000000000000e03700000100000004000000010000000d0000006d6f6368615365744461746100000000000000002600000066000000010000000000000000000000030000000400000093180601
"1712065340133,CurrentBlockRead,9,";47494f50010001004400000000000000e03700000158590104000000010000001d0000006d6f63686147657443757272656e74507267426c6f636b466972737400000000000000000100000009000000
"1712065340638,GetProgramNumber2,1,";47494f50010001004400000000000000e03700000100050004000000010000000d0000006d6f63686147657444617461003c2377000000002d000000c900000001000000000000000000000010000000
"1712065341156,GetSequenceNumber,1,";47494f50010001004400000000000000e037000001000d0004000000010000000d0000006d6f63686147657444617461003c2377000000002d000000ca00000001000000000000000000000003000000
"1712065341660,GetBlockNumber,1,";47494f50010001004400000000000000e03700000100030004000000010000000d0000006d6f63686147657444617461003c2377000000002d000000cb00000001000000000000000000000003000000
"1712065342165,GetSubProLevel,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f6368614765744461746100000000000000002d0000000100000001000000000000000000000001000000
"1712065342675,GetInformation,3,";47494f50010001004600000000000000e0370000010056010400000001000000150000006d6f63686146534f70656e4469726563746f727900482f01000000000e0000004d30313a5c5052475c555345525c
"1712065342675,GetInformation,3,";47494f50010001004400000000000000e0370000016831770400000001000000110000006d6f6368614653496f63746c46696c6500ed2177000000000000000001000000030000000400000000000000
"1712065342675,GetInformation,3,";47494f50010001003800000000000000e0370000010056010400000001000000160000006d6f6368614653436c6f73654469726563746f72790000000000000000000000
"1712065343191,GetCurrentBlockByByte,";47494f50010001004400000000000000e03700000159590104000000010000000d0000006d6f6368614765744461746100000000000000002d000000d400000001000000000000000000000003000000
"1712065343698,GetClockData,";47494f50010001004400000000000000e03700000100130004000000010000000d0000006d6f63686147657444617461003c237700000000280000000600000000000000000000000000000003000000
"1712065343698,GetClockData,";47494f50010001004400000000000000e037000001000d0004000000010000000d0000006d6f63686147657444617461003c237700000000280000000700000000000000000000000000000003000000
"1712065344206,SetClockData,1144406,211169,";47494f50010001004c00000000000000e03700000100000004000000010000000d0000006d6f6368615365744461746100000000000000002800000006000000000000000000000000000000030000000400000056761100
"1712065344715,GetAliveTime,";47494f50010001004400000000000000e037000001001b0004000000010000000d0000006d6f63686147657444617461003c237700000000280000000100000000000000000000000000000003000000
"1712065345224,SetAliveTime,92195599,";47494f50010001004c00000000000000e03700000100000004000000010000000d0000006d6f636861536574446174610000000000000000280000000100000000000000000000000000000003000000040000000fcb7e05
"1712065345773,GetRunTime,";47494f50010001004400000000000000e037000001000c0004000000010000000d0000006d6f63686147657444617461003c237700000000280000000200000000000000000000000000000003000000
"1712065346279,SetRunTime,93791591,";47494f50010001004c00000000000000e03700000100000004000000010000000d0000006d6f6368615365744461746100000000000000002800000002000000000000000000000000000000030000000400000067259705
"1712065346786,GetStartTime,";47494f50010001004400000000000000e037000001001f0004000000010000000d0000006d6f63686147657444617461003c237700000000280000000300000000000000000000000000000003000000
"1712065347302,SetStartTime,49709153,";47494f50010001004c00000000000000e03700000100000004000000010000000d0000006d6f636861536574446174610000000000000000280000000300000000000000000000000000000003000000040000006180f602
"1712065347816,GetEstimateTime,0,";47494f50010001004400000000000000e037000001001c0004000000010000000d0000006d6f63686147657444617461003c237700000000280000000400000000000000000000000000000003000000
"1712065348333,SetEstimateTime,1,29053817,";47494f50010001004c00000000000000e03700000100000004000000010000000d0000006d6f636861536574446174610000000000000000280000000500000000000000000000000000000003000000040000007953bb01
"1712065348840,GetServoMonitor,3,76,";47494f50010001004400000000000000e037000001001d0004000000010000000d0000006d6f63686147657444617461003c2377000000007e0000000100000001000000000000000000000001000000
"1712065349356,GetServoVersion,2,1,";47494f50010001004400000000000000e03700000100140004000000010000000d0000006d6f63686147657444617461003c2377000000007e0000000100000001000000000000000000000001000000
